bairros,casos,latitude,longitude
Setor Bueno,512,-16.700325,-49.276842
Setor Oeste,316,-16.684905,-49.270975
Jd. Guanabara,306,-16.620383,-49.217509
Jd. Novo Mundo,288,-16.679596,-49.219026
Parque Amaz“nia,223,-16.725873,-49.281696
Jd.Goias,211,-16.693869,-49.238934
Setor Pedro Ludovico,209,-16.713488,-49.255166
Setor Leste Universit rio,179,-16.676794,-49.245412
Conjunto Vera Cruz,166,-16.67745,-49.411757
Setor Central,139,-16.671254,-49.256428
Jd.Curitiba,137,-16.604596,-49.337494
Jd. Nova Esperanca,130,-16.645161,-49.327834
Setor Marista,121,-16.69971,-49.261403
Res. Vale dos Sonhos I,121,-16.600813,-49.202748
Setor Aeroporto,107,-16.669216,-49.266712
Cidade Jardim,104,-16.671121,-49.311693
Jd. Balneario Meia Ponte,104,-16.616021,-49.29808
Vila Finsocial,102,-16.623619,-49.3172
Setor Recanto das Minas Gerais,102,-16.645509,-49.186044
Setor Sudoeste,102,-16.69245,-49.29803
Setor Parque Tremendao,99,-16.619466,-49.333603
Setor Leste Vila Nova,99,-16.664624,-49.247096
Parque Atheneu,96,-16.745003,-49.196981
Setor Negrao de Lima,95,-16.655189,-49.242191
Setor Urias Magalhaes,95,-16.634872,-49.263179
Setor Bela vista,94,-16.714636,-49.260588
Setor Campinas,93,-16.661102,-49.293008
Setor Morada do Sol,91,-16.615384,-49.322477
Setor Sul,83,-16.689819,-49.251296
Res.Eldorado,81,-16.708677,-49.325605
Nova Suica,73,-16.706852,-49.282225
Capuava,67,-16.657001,-49.321906
Res. Recanto do Bosque,66,-16.602626,-49.307503
Setor Santos Dumont,66,-16.654511,-49.346821
Jd. Europa,65,-16.70706,-49.316269
Setor Estrela Dalva,65,-16.591801,-49.321931
Santa Genoveva,64,-16.638233,-49.236085
Jd. Atlantico,64,-16.732978,-49.29261
Alto da Gloria,62,-16.715348,-49.238775
Goiania 2,61,-16.627308,-49.251107
Faicalville,60,-16.74213,-49.320175
Setor Coimbra,57,-16.682948,-49.287426
Jd. Guanabara II,56,-16.61293,-49.214299
Setor Centro Oeste,54,-16.654304,-49.273189
Setor Sao Jose‚,54,-16.657571,-49.303493
Vila Alpes,53,-16.700532,-49.297084
Setor Jao,52,-16.643062,-49.229726
Res. Itaipu,52,-16.784813,-49.369482
Setor Crimeia Leste,51,-16.647375,-49.260636
Setor dos funcionarios,50,-16.66931,-49.280655
Parque Industrial Joao Braz,50,-16.685306,-49.354597
Goia,49,-16.682599,-49.330376
Vila Joao Vaz,49,-16.655042,-49.31327
Jd. Mariliza,48,-16.735588,-49.201628
Res. Granville,47,-16.71634,-49.328945
Parque Anhaguera,47,-16.721435,-49.299531
Vila Redencao,46,-16.721852,-49.246401
Res. Aldeia do Vale,46,-16.61286,-49.190425
Vila Santa Helena,45,-16.657376,-49.282749
Parque Oeste Industrial,44,-16.6946,-49.332358
Sao Francisco,44,-16.666507,-49.333511
Setor Novo Horizonte,44,-16.719074,-49.315054
Parque das Amendoeiras,42,-16.655879,-49.194414
Vila Mutirao I,41,-16.618398,-49.355232
Jd. Guanabara III,40,-16.611498,-49.219518
da Vitoria,40,-16.603145,-49.346418
Res. Brisas da Mata,39,-16.596463,-49.308283
Setor Norte Ferroviario,38,-16.65618,-49.265261
Floresta,38,-16.58515,-49.331645
Vila Itatiaia,37,-16.603223,-49.255478
Santo Hilario,37,-16.650131,-49.194121
Vila Jardim Sao Judas Tadeu,37,-16.616628,-49.246501
Vila Pedroso,35,-16.657883,-49.178517
Alphaville Flamboyant,34,-16.714645,-49.202382
Jd. Liberdade,33,-16.61487,-49.34634
Setor Candida de Morais,33,-16.650139,-49.32749
Setor Crimeia Oeste,33,-16.649198,-49.267514
Jd. Presidente,32,-16.735411,-49.337946
Jd. Planalto,32,-16.715977,-49.305951
Jd. Vila Boa,31,-16.728412,-49.318537
Res. Orlando de Morais,31,-16.551835,-49.270312
Conjunto Primavera,31,-16.628785,-49.364191
Vila Concordia,30,-16.662884,-49.184916
Res. Petropolis,30,-16.661838,-49.351524
Setor Perim,29,-16.650063,-49.286516
Outros,3192,,
